127.0.0.1 - - [24/Aug/2021:09:25:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:20 +0900] "GET /TP_web/index.html HTTP/1.1" 200 8284
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:20 +0900] "GET /TP_web/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:20 +0900] "GET /TP_web/css/styles.css HTTP/1.1" 200 222398
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:20 +0900] "GET /TP_web/js/scripts.js HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:20 +0900] "GET /TP_web/assets/img/Tuna.ico HTTP/1.1" 200 109399
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:22 +0900] "GET /TP_web/assets/wave.ico HTTP/1.1" 200 113103
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/YN_PR.html HTTP/1.1" 200 15067
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/jquery-3.6.0.min.js HTTP/1.1" 200 89516
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/css/yn_animate.css HTTP/1.1" 200 73008
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/modernizr-2.6.2.min.js HTTP/1.1" 200 15413
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/css/yn_bootstrap.css HTTP/1.1" 200 134656
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/css/yn_icomoon.css HTTP/1.1" 200 51238
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/css/yn_style.css HTTP/1.1" 200 26714
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/YNPR.js HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/jquery.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/jquery.easing.1.3.js HTTP/1.1" 200 8111
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/YN_data.json HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/jquery.easypiechart.min.js HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/jquery.stellar.min.js HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/google_map.js HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/js/main.js HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/images/dish.png HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/images/cake.png HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/images/cat.png HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/images/swim.png HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/images/house.png HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [24/Aug/2021:09:25:55 +0900] "GET /TP_web/profileMaster/images/walk.png HTTP/1.1" 200 1003
